2026-04-04 23:19:17 | DEBUG | core | 📉 Стакан НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:19:17 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:19 | DEBUG | core | 📈 Тренд НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:19:19 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:20 | DEBUG | core | 📈 Тренд НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:19:20 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:20 | DEBUG | core | 📈 Тренд НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:19:20 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:19:22 | DEBUG | core | 📉 Стакан НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:21:43 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:21:45 | DEBUG | core | 📉 Стакан НЕ подтверждён для DRIFTUSDT. Пропускаем.
2026-04-04 23:22:39 | INFO | core | ✅ Готов сигнал по монете DRIFTUSDT.
2026-04-04 23:23:52 | DEBUG | core | 📉 Стакан НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:23:54 | DEBUG | core | 📉 Стакан НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:23:54 | DEBUG | core | 📉 Стакан НЕ подтверждён для SIRENUSDT. Пропускаем.
2026-04-04 23:24:23 | INFO | core | Остановка скринера, закрытие сессий и задач...
2026-04-04 23:24:23 | INFO | core | Ожидание завершения 1 фоновых задач...
2026-04-04 23:24:23 | INFO | core | Все процессы корректно завершены.
2026-04-04 23:33:32 | INFO | core | [INFO] ✨ Скринер начал работу.
2026-04-04 23:33:32 | WARNING | core | 🔄 Инициализация aiohttp сессии...
2026-04-04 23:33:32 | INFO | core | 🌐 Инициализация WS стакана для 521 пар...
2026-04-04 23:33:32 | INFO | core | Символы загружены
2026-04-04 23:34:55 | INFO | core | Остановка скринера, закрытие сессий и задач...
2026-04-04 23:34:55 | INFO | core | Ожидание завершения 1 фоновых задач...
2026-04-04 23:34:55 | INFO | core | Все процессы корректно завершены.
2026-04-04 23:35:16 | INFO | core | [INFO] ✨ Скринер начал работу.
2026-04-04 23:35:16 | WARNING | core | 🔄 Инициализация aiohttp сессии...
2026-04-04 23:35:16 | INFO | core | 🌐 Инициализация WS стакана для 521 пар...
2026-04-04 23:35:16 | INFO | core | Символы загружены
2026-04-04 23:35:26 | INFO | core | ✅ Готов сигнал по монете TREEUSDT.
2026-04-04 23:35:26 | INFO | core | ✅ Готов сигнал по монете COOKIEUSDT.
2026-04-04 23:35:26 | INFO | core | ✅ Готов сигнал по монете DEGOUSDT.
2026-04-04 23:35:27 | INFO | core | ✅ Готов сигнал по монете FIOUSDT.
2026-04-04 23:35:27 | INFO | core | ✅ Готов сигнал по монете NFPUSDT.
2026-04-04 23:35:28 | INFO | core | ✅ Готов сигнал по монете XVSUSDT.
2026-04-04 23:35:35 | INFO | core | ✅ Готов сигнал по монете BROCCOLIUSDT.
2026-04-04 23:35:40 | INFO | core | ✅ Готов сигнал по монете DEGENUSDT.
2026-04-04 23:35:45 | INFO | core | ✅ Готов сигнал по монете MBOXUSDT.
2026-04-04 23:35:49 | INFO | core | ✅ Готов сигнал по монете ZBTUSDT.
2026-04-04 23:36:01 | INFO | core | ✅ Готов сигнал по монете CVCUSDT.
2026-04-04 23:36:13 | INFO | core | ✅ Готов сигнал по монете NAORISUSDT.
