2026-04-05 13:48:19 | DEBUG | signal | HUSDT: Δ 5.0, cur: -0.012195121951231708, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | NEWTUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | FUSDT: Δ 5.0, cur: 0.04140786749482951, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SPKUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | TAIKOUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SQDUSDT: Δ 5.0, cur: 0.07109847138287471, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | RESOLVUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HOMEUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PUMPBTCUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | LAUSDT: Δ 5.0, cur: 0.11655011655011989, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BOBUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AUSDT: Δ 2.5, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SOPHUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | HUMAUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BROCCOLIF3BUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BUSDT: Δ 5.0, cur: -0.10400416016640963, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SOONUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | AWEUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | CVCUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | BANANAS31USDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | NXPCUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | DOODUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SXTUSDT: Δ 5.0, cur: -0.1219512195122113, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ASRUSDT: Δ 5.0, cur: -0.08156606851548857, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | ALPINEUSDT: Δ 5.0, cur: 0.1001251564455459, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | B2USDT: Δ 5.0, cur: -0.05797941730684968, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | SYRUPUSDT: Δ 5.0, cur: 0.0, ttl: 10
2026-04-05 13:48:19 | DEBUG | signal | PUNDIXUSDT: Δ 5.0, cur: -0.21306818181817808, ttl: 10
